local_window,stride,accuracy,precision,recall,f1
0,1,0.9583,0.749,0.9868,0.8516
0,2,0.9733,0.8328,0.9754,0.8985
0,3,0.9784,0.8529,0.9929,0.9176
0,4,0.8256,0.4081,0.9703,0.5745
0,5,0.9405,0.6738,0.9886,0.8014
0,6,0.9502,0.7145,0.9825,0.8274
0,7,0.8789,0.5006,0.9622,0.6586
0,8,0.9478,0.7044,0.9825,0.8205
0,9,0.9685,0.8059,0.9754,0.8826
0,10,0.8933,0.533,0.9746,0.6891
1,0,0.9408,0.6991,0.899,0.7866
1,2,0.9733,0.8328,0.9754,0.8985
1,3,0.9784,0.8529,0.9929,0.9176
1,4,0.8256,0.4081,0.9703,0.5745
1,5,0.9405,0.6738,0.9886,0.8014
1,6,0.9502,0.7145,0.9825,0.8274
1,7,0.8789,0.5006,0.9622,0.6586
1,8,0.9478,0.7044,0.9825,0.8205
1,9,0.9685,0.8059,0.9754,0.8826
1,10,0.8933,0.533,0.9746,0.6891
2,0,0.9876,0.9207,0.9825,0.9506
2,1,0.943,0.6814,0.9957,0.8091
2,3,0.9307,0.6422,0.9693,0.7726
2,4,0.975,0.8294,1.0,0.9067
2,5,0.9645,0.7812,0.9825,0.8703
2,6,0.9653,0.7849,0.9835,0.8731
2,7,0.7063,0.2876,0.9622,0.4429
2,8,0.9836,0.8887,0.9886,0.936
2,9,0.9589,0.7564,0.9754,0.8521
2,10,0.8114,0.3887,0.9675,0.5546
3,0,0.9876,0.9207,0.9825,0.9506
3,1,0.943,0.6814,0.9957,0.8091
3,2,0.856,0.4561,0.9703,0.6205
3,4,0.975,0.8294,1.0,0.9067
3,5,0.9645,0.7812,0.9825,0.8703
3,6,0.9653,0.7849,0.9835,0.8731
3,7,0.7063,0.2876,0.9622,0.4429
3,8,0.9836,0.8887,0.9886,0.936
3,9,0.9589,0.7564,0.9754,0.8521
3,10,0.8114,0.3887,0.9675,0.5546
4,0,0.9921,0.9387,1.0,0.9684
4,1,0.943,0.6814,0.9957,0.8091
4,2,0.8933,0.5323,0.9929,0.693
4,3,0.9763,0.8369,1.0,0.9112
4,5,0.979,0.8678,0.9754,0.9184
4,6,0.9895,0.9257,0.9929,0.9581
4,7,0.9866,0.9004,1.0,0.9476
4,8,0.9819,0.8867,0.9754,0.9289
4,9,0.9731,0.8317,0.9754,0.8978
4,10,0.8107,0.3874,0.9622,0.5523
5,0,0.9921,0.9387,1.0,0.9684
5,1,0.943,0.6814,0.9957,0.8091
5,2,0.8933,0.5323,0.9929,0.693
5,3,0.9763,0.8369,1.0,0.9112
5,4,0.9664,0.7865,0.9929,0.8777
5,6,0.9895,0.9257,0.9929,0.9581
5,7,0.9866,0.9004,1.0,0.9476
5,8,0.9819,0.8867,0.9754,0.9289
5,9,0.9731,0.8317,0.9754,0.8978
5,10,0.8107,0.3874,0.9622,0.5523
6,0,0.9887,0.9362,0.9736,0.9545
6,1,0.98,0.8669,0.9868,0.923
6,2,0.8933,0.5323,0.9929,0.693
6,3,0.9747,0.8338,0.9886,0.9046
6,4,0.9894,0.93,0.9868,0.9575
6,5,0.9872,0.9146,0.9868,0.9493
6,7,0.981,0.8734,0.9868,0.9266
6,8,0.9885,0.9238,0.9868,0.9542
6,9,0.9319,0.6476,0.9622,0.7741
6,10,0.9882,0.9116,1.0,0.9538
