local_window,stride,accuracy,precision,recall,f1
7,0,0.9887,0.9362,0.9736,0.9545
7,1,0.98,0.8669,0.9868,0.923
7,2,0.8933,0.5323,0.9929,0.693
7,3,0.9747,0.8338,0.9886,0.9046
7,4,0.9894,0.93,0.9868,0.9575
7,5,0.9872,0.9146,0.9868,0.9493
7,6,0.9869,0.9125,0.9868,0.9482
7,8,0.9885,0.9238,0.9868,0.9542
7,9,0.9319,0.6476,0.9622,0.7741
7,10,0.9882,0.9116,1.0,0.9538
8,0,0.9902,0.9299,0.9939,0.9608
8,1,0.98,0.8669,0.9868,0.923
8,2,0.9894,0.9362,0.9796,0.9574
8,3,0.9747,0.8338,0.9886,0.9046
8,4,0.9696,0.8121,0.9754,0.8863
8,5,0.9089,0.5717,0.9957,0.7263
8,6,0.9565,0.7434,0.9796,0.8453
8,7,0.99,0.9298,0.9929,0.9603
8,9,0.9906,0.9279,1.0,0.9626
8,10,0.9876,0.9073,1.0,0.9514
9,0,0.9902,0.9299,0.9939,0.9608
9,1,0.98,0.8669,0.9868,0.923
