local_window,stride,accuracy,precision,recall,f1
5,1,0.9912,0.9324,1.0,0.965
5,2,0.9917,0.9362,1.0,0.967
5,3,0.9904,0.9263,1.0,0.9618
5,4,0.9904,0.9269,1.0,0.9621
5,6,0.9897,0.9322,0.9868,0.9587
5,7,0.9893,0.9296,0.9868,0.9574
5,8,0.9906,0.9284,1.0,0.9629
5,9,0.9909,0.9299,1.0,0.9637
5,10,0.9915,0.9342,1.0,0.966
6,1,0.9868,0.9016,1.0,0.9482
6,2,0.9917,0.9362,1.0,0.967
6,3,0.9903,0.9263,1.0,0.9617
6,4,0.9913,0.933,1.0,0.9653
6,5,0.991,0.9312,1.0,0.9644
6,7,0.9837,0.8906,0.9868,0.9362
6,8,0.985,0.8947,0.9929,0.9412
6,9,0.9902,0.9357,0.9868,0.9606
6,10,0.9895,0.9309,0.9868,0.958
7,1,0.9868,0.9016,1.0,0.9482
7,2,0.9917,0.9362,1.0,0.967
7,3,0.9903,0.9263,1.0,0.9617
7,4,0.9913,0.933,1.0,0.9653
7,5,0.991,0.9312,1.0,0.9644
7,6,0.9901,0.9353,0.9868,0.9604
7,8,0.985,0.8947,0.9929,0.9412
7,9,0.9902,0.9357,0.9868,0.9606
7,10,0.9895,0.9309,0.9868,0.958
8,1,0.9868,0.9016,1.0,0.9482
8,2,0.9885,0.9133,1.0,0.9547
8,3,0.9903,0.9263,1.0,0.9617
8,4,0.9897,0.9216,1.0,0.9592
8,5,0.9894,0.9197,1.0,0.9582
8,6,0.9892,0.9183,1.0,0.9574
8,7,0.9854,0.8924,1.0,0.9431
8,9,0.9898,0.9227,1.0,0.9598
8,10,0.9845,0.9147,0.9622,0.9378
9,1,0.9868,0.9016,1.0,0.9482
9,2,0.9885,0.9133,1.0,0.9547
9,3,0.9903,0.9263,1.0,0.9617
9,4,0.9897,0.9216,1.0,0.9592
9,5,0.9894,0.9197,1.0,0.9582
9,6,0.9892,0.9183,1.0,0.9574
9,7,0.9854,0.8924,1.0,0.9431
9,8,0.9906,0.9282,1.0,0.9628
9,10,0.9845,0.9147,0.9622,0.9378
10,1,0.9853,0.8919,1.0,0.9428
10,2,0.9878,0.9085,1.0,0.9521
10,3,0.9887,0.9145,1.0,0.9553
10,4,0.9897,0.9216,1.0,0.9592
10,5,0.9893,0.919,1.0,0.9578
10,6,0.99,0.9242,1.0,0.9606
10,7,0.9895,0.9218,0.9981,0.9584
10,8,0.9885,0.9137,1.0,0.9549
10,9,0.9913,0.9346,0.9981,0.9653
