local_window,stride,f1
0,0,0.0
0,1,0.9708
0,2,0.9405
0,3,0.9595
0,4,0.942
0,5,0.9464
0,6,0.975
0,7,0.9215
0,8,0.967
0,9,0.9442
0,10,0.8617
0,11,0.9745
0,12,0.8952
0,13,0.8527
0,14,0.8655
0,15,0.9772
0,16,0.9153
0,17,0.9487
0,18,0.8074
0,19,0.8363
0,20,0.8458
1,0,0.8036
1,1,0.9708
1,2,0.9405
1,3,0.9595
1,4,0.942
1,5,0.9464
1,6,0.975
1,7,0.9215
1,8,0.967
1,9,0.9442
1,10,0.8617
1,11,0.9745
1,12,0.8952
1,13,0.8527
1,14,0.8655
1,15,0.9772
1,16,0.9153
1,17,0.9487
1,18,0.8074
1,19,0.8363
1,20,0.8458
2,0,0.978
2,1,0.9512
2,2,0.9643
2,3,0.966
2,4,0.9269
2,5,0.9597
2,6,0.9756
2,7,0.8822
2,8,0.8717
2,9,0.8226
2,10,0.981
2,11,0.8682
2,12,0.811
2,13,0.8197
