local_window,stride,f1
3,1,0.9635
3,2,0.9274
3,3,0.9642
3,4,0.9631
3,5,0.9629
3,6,0.9635
3,7,0.8839
3,8,0.8254
3,9,0.8952
3,10,0.9589
3,11,0.9624
3,12,0.8608
3,13,0.9601
3,14,0.9642
4,0,0.9635
4,1,0.9635
4,2,0.9644
4,3,0.9625
4,4,0.9629
4,5,0.9653
4,6,0.9292
4,7,0.9661
4,8,0.9454
4,9,0.9628
4,10,0.9611
4,11,0.9626
4,12,0.9605
4,13,0.9632
4,14,0.9634
5,0,0.9635
5,1,0.9635
5,2,0.9644
5,3,0.9625
5,4,0.9629
5,5,0.9653
5,6,0.9292
5,7,0.9661
5,8,0.9454
5,9,0.9628
5,10,0.9611
5,11,0.9626
5,12,0.9605
5,13,0.9632
5,14,0.9634
6,0,0.9441
6,1,0.9653
6,2,0.9644
6,3,0.9626
6,4,0.9621
6,5,0.9658
6,6,0.9656
6,7,0.9648
6,8,0.9652
6,9,0.9619
6,10,0.9634
6,11,0.9648
6,12,0.9644
6,13,0.9649
6,14,0.9619
7,0,0.9441
7,1,0.9653
7,2,0.9644
7,3,0.9626
7,4,0.9621
7,5,0.9658
7,6,0.9656
7,7,0.9648
7,8,0.9652
7,9,0.9619
7,10,0.9634
7,11,0.9648
7,12,0.9644
7,13,0.9649
7,14,0.9619
8,0,0.9634
8,1,0.9653
8,2,0.9664
8,3,0.9626
8,4,0.9653
8,5,0.9646
8,6,0.9654
8,7,0.9637
8,8,0.9617
8,9,0.9634
8,10,0.9623
8,11,0.9633
8,12,0.9637
8,13,0.9635
8,14,0.9622
9,0,0.9634
9,1,0.9653
9,2,0.9664
9,3,0.9626
9,4,0.9653
9,5,0.9646
9,6,0.9654
9,7,0.9637
9,8,0.9617
9,9,0.9634
9,10,0.9623
9,11,0.9633
9,12,0.9637
9,13,0.9635
9,14,0.9622
10,0,0.9616
10,1,0.9656
10,2,0.9617
10,3,0.9652
10,4,0.9653
10,5,0.9622
10,6,0.9627
10,7,0.9643
10,8,0.9647
10,9,0.9644
10,10,0.9642
10,11,0.9632
10,12,0.9642
10,13,0.9614
10,14,0.9625
11,0,0.9616
11,1,0.9656
11,2,0.9617
11,3,0.9652
11,4,0.9653
11,5,0.9622
11,6,0.9627
11,7,0.9643
11,8,0.9647
11,9,0.9644
11,10,0.9642
11,11,0.9632
11,12,0.9642
11,13,0.9614
11,14,0.9625
12,0,0.9619
12,1,0.9656
12,2,0.9617
12,3,0.9632
12,4,0.9635
12,5,0.9622
12,6,0.9645
12,7,0.9615
12,8,0.9279
12,9,0.9624
12,10,0.9614
12,11,0.9646
12,12,0.9647
12,13,0.9635
12,14,0.964
13,0,0.9619
13,1,0.9656
13,2,0.9617
13,3,0.9632
13,4,0.9635
13,5,0.9622
13,6,0.9645
13,7,0.9615
13,8,0.9279
13,9,0.9624
13,10,0.9614
13,11,0.9646
13,12,0.9647
13,13,0.9635
13,14,0.964
14,0,0.9627
14,1,0.9661
14,2,0.9627
14,3,0.9653
14,4,0.9644
14,5,0.9644
14,6,0.9645
14,7,0.9637
14,8,0.9646
14,9,0.9647
14,10,0.9624
14,11,0.9245
14,12,0.9653
14,13,0.9648
14,14,0.9638
