local_window,stride,f1
0,0,0.0
0,1,0.91
0,2,0.9006
0,3,0.8992
0,4,0.9071
0,5,0.9019
0,6,0.9087
0,7,0.9041
0,8,0.9072
0,9,0.8964
0,10,0.9112
0,11,0.9008
0,12,0.9073
0,13,0.9023
0,14,0.899
0,15,0.9141
0,16,0.9085
0,17,0.9091
0,18,0.9045
0,19,0.9113
0,20,0.9011
1,0,0.8289
1,1,0.91
1,2,0.9006
1,3,0.8992
1,4,0.9071
1,5,0.9019
1,6,0.9087
1,7,0.9041
1,8,0.9072
1,9,0.8964
1,10,0.9112
1,11,0.9008
1,12,0.9073
1,13,0.9023
1,14,0.899
1,15,0.9141
1,16,0.9085
1,17,0.9091
1,18,0.9045
1,19,0.9113
1,20,0.9011
2,0,0.8691
2,1,0.9021
2,2,0.8987
2,3,0.9016
2,4,0.8937
2,5,0.897
2,6,0.8991
2,7,0.9051
2,8,0.8976
2,9,0.887
2,10,0.904
2,11,0.8871
2,12,0.8996
2,13,0.896
2,14,0.8953
2,15,0.8941
2,16,0.8904
2,17,0.9004
2,18,0.904
2,19,0.8894
2,20,0.9014
3,0,0.8691
3,1,0.9021
3,2,0.8987
3,3,0.9016
3,4,0.8937
3,5,0.897
3,6,0.8991
3,7,0.9051
3,8,0.8976
3,9,0.887
3,10,0.904
3,11,0.8871
3,12,0.8996
3,13,0.896
3,14,0.8953
3,15,0.8941
3,16,0.8904
3,17,0.9004
3,18,0.904
3,19,0.8894
3,20,0.9014
4,0,0.8616
4,1,0.9021
4,2,0.9005
4,3,0.8941
4,4,0.8882
4,5,0.8979
4,6,0.9014
4,7,0.9035
4,8,0.8928
4,9,0.884
4,10,0.9023
4,11,0.8974
4,12,0.9038
4,13,0.8952
4,14,0.8956
4,15,0.8993
4,16,0.8981
4,17,0.8846
4,18,0.889
4,19,0.8869
4,20,0.8899
5,0,0.8616
5,1,0.9021
5,2,0.9005
5,3,0.8941
5,4,0.8882
5,5,0.8979
5,6,0.9014
5,7,0.9035
5,8,0.8928
5,9,0.884
5,10,0.9023
5,11,0.8974
5,12,0.9038
5,13,0.8952
5,14,0.8956
5,15,0.8993
5,16,0.8981
5,17,0.8846
5,18,0.889
5,19,0.8869
5,20,0.8899
6,0,0.8749
6,1,0.9084
6,2,0.9005
6,3,0.9036
6,4,0.8808
6,5,0.9004
6,6,0.8946
6,7,0.8984
6,8,0.8913
6,9,0.891
6,10,0.8965
6,11,0.8951
6,12,0.8898
6,13,0.8879
6,14,0.887
6,15,0.8901
6,16,0.8964
6,17,0.8923
6,18,0.8869
6,19,0.8875
6,20,0.8817
7,0,0.8749
7,1,0.9084
7,2,0.9005
7,3,0.9036
7,4,0.8808
7,5,0.9004
7,6,0.8946
7,7,0.8984
7,8,0.8913
7,9,0.891
7,10,0.8965
7,11,0.8951
7,12,0.8898
7,13,0.8879
7,14,0.887
7,15,0.8901
7,16,0.8964
7,17,0.8923
7,18,0.8869
7,19,0.8875
7,20,0.8817
8,0,0.8622
8,1,0.9084
8,2,0.9029
8,3,0.9036
8,4,0.8944
8,5,0.8956
8,6,0.897
8,7,0.8913
8,8,0.8936
8,9,0.8839
8,10,0.8946
8,11,0.8934
8,12,0.8971
8,13,0.8946
8,14,0.8906
8,15,0.8925
8,16,0.8929
8,17,0.8947
8,18,0.8982
8,19,0.8831
8,20,0.8847
9,0,0.8622
9,1,0.9084
9,2,0.9029
9,3,0.9036
9,4,0.8944
9,5,0.8956
9,6,0.897
9,7,0.8913
9,8,0.8936
9,9,0.8839
9,10,0.8946
9,11,0.8934
9,12,0.8971
9,13,0.8946
9,14,0.8906
9,15,0.8925
9,16,0.8929
9,17,0.8947
9,18,0.8982
9,19,0.8831
9,20,0.8847
10,0,0.8388
10,1,0.9032
10,2,0.8935
10,3,0.9079
10,4,0.8944
10,5,0.8967
10,6,0.8878
10,7,0.89
10,8,0.8886
10,9,0.8896
10,10,0.8951
10,11,0.8929
10,12,0.889
10,13,0.8925
10,14,0.8862
10,15,0.8889
10,16,0.888
10,17,0.8957
10,18,0.8944
10,19,0.8907
10,20,0.8893
11,0,0.8388
11,1,0.9032
11,2,0.8935
11,3,0.9079
11,4,0.8944
11,5,0.8967
11,6,0.8878
11,7,0.89
11,8,0.8886
11,9,0.8896
11,10,0.8951
11,11,0.8929
11,12,0.889
11,13,0.8925
11,14,0.8862
11,15,0.8889
11,16,0.888
11,17,0.8957
11,18,0.8944
11,19,0.8907
11,20,0.8893
12,0,0.8753
12,1,0.9032
12,2,0.8935
12,3,0.8942
12,4,0.8947
12,5,0.8967
12,6,0.8835
12,7,0.8878
12,8,0.8839
12,9,0.8851
12,10,0.887
12,11,0.8945
12,12,0.8906
12,13,0.8962
12,14,0.8891
12,15,0.8943
12,16,0.8859
12,17,0.8842
12,18,0.8943
12,19,0.8949
12,20,0.8891
13,0,0.8753
13,1,0.9032
13,2,0.8935
13,3,0.8942
13,4,0.8947
13,5,0.8967
13,6,0.8835
13,7,0.8878
13,8,0.8839
13,9,0.8851
13,10,0.887
13,11,0.8945
13,12,0.8906
13,13,0.8962
13,14,0.8891
13,15,0.8943
13,16,0.8859
13,17,0.8842
13,18,0.8943
13,19,0.8949
13,20,0.8891
14,0,0.8864
14,1,0.9067
14,2,0.8961
14,3,0.8916
14,4,0.8947
14,5,0.8845
14,6,0.8835
14,7,0.8971
14,8,0.8904
14,9,0.8827
14,10,0.9009
14,11,0.8969
14,12,0.8944
14,13,0.8947
14,14,0.8957
14,15,0.8941
14,16,0.8919
14,17,0.8817
14,18,0.8889
14,19,0.8973
14,20,0.8952
15,0,0.8864
15,1,0.9067
15,2,0.8961
15,3,0.8916
15,4,0.8947
15,5,0.8845
15,6,0.8835
15,7,0.8971
15,8,0.8904
15,9,0.8827
15,10,0.9009
15,11,0.8969
15,12,0.8944
15,13,0.8947
15,14,0.8957
15,15,0.8941
15,16,0.8919
15,17,0.8817
15,18,0.8889
15,19,0.8973
15,20,0.8952
16,0,0.8918
16,1,0.9067
16,2,0.8889
16,3,0.8916
16,4,0.8919
16,5,0.896
16,6,0.9018
16,7,0.8971
16,8,0.8958
16,9,0.9022
16,10,0.9027
16,11,0.8996
16,12,0.8952
16,13,0.8913
16,14,0.8984
16,15,0.8979
16,16,0.8967
16,17,0.8963
16,18,0.891
16,19,0.8976
16,20,0.8922
17,0,0.8918
17,1,0.9067
17,2,0.8889
17,3,0.8916
17,4,0.8919
17,5,0.896
17,6,0.9018
17,7,0.8971
17,8,0.8958
17,9,0.9022
17,10,0.9027
17,11,0.8996
17,12,0.8952
17,13,0.8913
17,14,0.8984
17,15,0.8979
17,16,0.8967
17,17,0.8963
17,18,0.891
17,19,0.8976
17,20,0.8922
18,0,0.8888
18,1,0.9038
18,2,0.8889
18,3,0.8998
18,4,0.8949
18,5,0.899
18,6,0.9039
18,7,0.8975
18,8,0.8958
18,9,0.894
18,10,0.896
18,11,0.9021
18,12,0.898
18,13,0.894
18,14,0.8989
18,15,0.8902
18,16,0.8909
18,17,0.8999
18,18,0.8948
18,19,0.896
18,20,0.883
19,0,0.8888
19,1,0.9038
19,2,0.8889
19,3,0.8998
19,4,0.8949
19,5,0.899
19,6,0.9039
19,7,0.8975
19,8,0.8958
19,9,0.894
19,10,0.896
19,11,0.9021
19,12,0.898
19,13,0.894
19,14,0.8989
19,15,0.8902
19,16,0.8909
19,17,0.8999
19,18,0.8948
19,19,0.896
19,20,0.883
20,0,0.8859
20,1,0.9038
20,2,0.899
20,3,0.8939
20,4,0.8949
20,5,0.8989
20,6,0.8974
20,7,0.9029
20,8,0.9096
20,9,0.894
20,10,0.8969
20,11,0.9006
20,12,0.8959
20,13,0.8977
20,14,0.8985
20,15,0.8945
20,16,0.8955
20,17,0.8976
20,18,0.8948
20,19,0.8939
20,20,0.8982
